600626.SH	申达股份
600628.SH	新世界
600629.SH	华建集团
600630.SH	龙头股份
600633.SH	浙数文化
600636.SH	国新文化
600637.SH	东方明珠
600638.SH	新黄浦
600639.SH	浦东金桥
600640.SH	号百控股
600642.SH	申能股份
600644.SH	乐山电力
600647.SH	同达创业
600648.SH	外高桥
600649.SH	城投控股
600650.SH	锦江投资
600651.SH	*ST飞乐
600653.SH	申华控股
600657.SH	信达地产
600658.SH	电子城
600662.SH	强生控股
600663.SH	陆家嘴
600664.SH	哈药股份
600665.SH	天地源
600667.SH	太极实业
600668.SH	尖峰集团
600674.SH	川投能源
600675.SH	中华企业
600676.SH	交运股份
600677.SH	*ST航通
600679.SH	上海凤凰
600683.SH	京投发展
600684.SH	珠江实业
600685.SH	中船防务
600686.SH	金龙汽车
600688.SH	上海石化
600689.SH	上海三毛
600691.SH	阳煤化工
600692.SH	亚通股份
600697.SH	欧亚集团
600698.SH	ST天雁
600704.SH	物产中大
600705.SH	中航资本
600706.SH	曲江文旅
600707.SH	彩虹股份
600708.SH	光明地产
600710.SH	苏美达
600712.SH	南宁百货
600713.SH	南京医药
600714.SH	金瑞矿业
600715.SH	文投控股
600716.SH	凤凰股份
600717.SH	天津港
600719.SH	大连热电
600720.SH	祁连山
600721.SH	ST百花
600722.SH	金牛化工
600723.SH	首商股份
600724.SH	宁波富达
600725.SH	ST云维
600726.SH	华电能源
600727.SH	鲁北化工
600729.SH	重庆百货
600731.SH	湖南海利
600733.SH	北汽蓝谷
600736.SH	苏州高新
600737.SH	中粮糖业
600739.SH	辽宁成大
600740.SH	山西焦化
600741.SH	华域汽车
600742.SH	一汽富维
600743.SH	华远地产
600744.SH	华银电力
600746.SH	江苏索普
600748.SH	上实发展
600750.SH	江中药业
600754.SH	锦江酒店
600755.SH	厦门国贸
600756.SH	浪潮软件
600757.SH	长江传媒
600758.SH	辽宁能源
600760.SH	中航沈飞
600761.SH	安徽合力
600764.SH	中国海防
600765.SH	中航重机
600769.SH	祥龙电业
600773.SH	西藏城投
600775.SH	南京熊猫
600776.SH	东方通信
600780.SH	通宝能源
600782.SH	新钢股份
600783.SH	鲁信创投
600784.SH	鲁银投资
600787.SH	中储股份
600789.SH	鲁抗医药
600790.SH	轻纺城
600791.SH	京能置业
600792.SH	云煤能源
600793.SH	宜宾纸业
600794.SH	保税科技
600795.SH	国电电力
600796.SH	钱江生化
600798.SH	宁波海运
600800.SH	天津磁卡
600802.SH	福建水泥
600805.SH	悦达投资
600808.SH	马钢股份
600809.SH	山西汾酒
600810.SH	神马股份
600812.SH	华北制药
600814.SH	杭州解百
600815.SH	*ST厦工
600819.SH	耀皮玻璃
600820.SH	隧道股份
600821.SH	*ST劝业
600822.SH	上海物贸
600824.SH	益民集团
600825.SH	新华传媒
600826.SH	兰生股份
600827.SH	百联股份
600829.SH	人民同泰
600830.SH	香溢融通
600831.SH	广电网络
600833.SH	第一医药
600834.SH	申通地铁
600835.SH	上海机电
600837.SH	海通证券
600838.SH	上海九百
600839.SH	四川长虹
600841.SH	上柴股份
600844.SH	丹化科技
600845.SH	宝信软件
600848.SH	上海临港
600850.SH	华东电脑
600853.SH	龙建股份
600855.SH	航天长峰
600858.SH	银座股份
600859.SH	王府井
600860.SH	*ST京城
600861.SH	北京城乡
600862.SH	中航高科
600863.SH	内蒙华电
600864.SH	哈投股份
600866.SH	星湖科技
600871.SH	石化油服
600874.SH	创业环保
600875.SH	东方电气
600876.SH	洛阳玻璃
600877.SH	ST电能
600879.SH	航天电子
600880.SH	博瑞传播
600881.SH	亚泰集团
600886.SH	国投电力
600887.SH	伊利股份
600889.SH	南京化纤
600893.SH	航发动力
600894.SH	广日股份
600895.SH	张江高科
600897.SH	厦门空港
600900.SH	长江电力
600901.SH	江苏租赁
600908.SH	无锡银行
600909.SH	华安证券
600917.SH	重庆燃气
600919.SH	江苏银行
600926.SH	杭州银行
600928.SH	西安银行
600929.SH	雪天盐业
600936.SH	广西广电
600939.SH	重庆建工
600958.SH	东方证券
600959.SH	江苏有线
600960.SH	渤海汽车
600961.SH	株冶集团
600962.SH	国投中鲁
600963.SH	岳阳林纸
600967.SH	内蒙一机
600968.SH	海油发展
600969.SH	郴电国际
600970.SH	中材国际
600971.SH	恒源煤电
600973.SH	宝胜股份
600975.SH	新五丰
600979.SH	广安爱众
600980.SH	北矿科技
600981.SH	汇鸿集团
600982.SH	宁波热电
600984.SH	建设机械
600985.SH	淮北矿业
600990.SH	四创电子
600992.SH	贵绳股份
600995.SH	文山电力
600996.SH	贵广网络
600997.SH	开滦股份
600999.SH	招商证券
601000.SH	唐山港
601001.SH	大同煤业
601003.SH	柳钢股份
601005.SH	重庆钢铁
601006.SH	大秦铁路
601007.SH	金陵饭店
601008.SH	连云港
601009.SH	南京银行
601016.SH	节能风电
601018.SH	宁波港
601019.SH	山东出版
601038.SH	一拖股份
601066.SH	中信建投
601068.SH	中铝国际
601069.SH	西部黄金
601088.SH	中国神华
601098.SH	中南传媒
601101.SH	昊华能源
601106.SH	中国一重
601107.SH	四川成渝
601108.SH	财通证券
601111.SH	中国国航
601117.SH	中国化学
601118.SH	海南橡胶
601128.SH	常熟银行
601139.SH	深圳燃气
601158.SH	重庆水务
601162.SH	天风证券
601166.SH	兴业银行
601168.SH	西部矿业
601169.SH	北京银行
601177.SH	杭齿前进
601179.SH	中国西电
601186.SH	中国铁建
601188.SH	龙江交通
601198.SH	东兴证券
601199.SH	江南水务
601200.SH	上海环境
601211.SH	国泰君安
601212.SH	白银有色
601225.SH	陕西煤业
601226.SH	华电重工
601228.SH	广州港
601229.SH	上海银行
601236.SH	红塔证券
601238.SH	广汽集团
601288.SH	农业银行
601298.SH	青岛港
601319.SH	中国人保
601326.SH	秦港股份
601328.SH	交通银行
601330.SH	绿色动力
601333.SH	广深铁路
601336.SH	新华保险
601368.SH	绿城水务
601369.SH	陕鼓动力
601375.SH	中原证券
601377.SH	兴业证券
601390.SH	中国中铁
601398.SH	工商银行
601518.SH	吉林高速
601555.SH	东吴证券
601577.SH	长沙银行
601588.SH	北辰实业
601595.SH	上海电影
601598.SH	中国外运
601600.SH	中国铝业
601601.SH	中国太保
601606.SH	长城军工
601607.SH	上海医药
601608.SH	中信重工
601611.SH	中国核建
601618.SH	中国中冶
601628.SH	中国人寿
601666.SH	平煤股份
601668.SH	中国建筑
601669.SH	中国电建
601688.SH	华泰证券
601698.SH	中国卫通
601699.SH	潞安环能
601717.SH	郑煤机
601718.SH	际华集团
601727.SH	上海电气
601766.SH	中国中车
601788.SH	光大证券
601798.SH	蓝科高新
601800.SH	中国交建
601801.SH	皖新传媒
601808.SH	中海油服
601811.SH	新华文轩
601818.SH	光大银行
601838.SH	成都银行
601857.SH	中国石油
601860.SH	紫金银行
601866.SH	中远海发
601869.SH	长飞光纤
601872.SH	招商轮船
601878.SH	浙商证券
601880.SH	大连港
601881.SH	中国银河
601888.SH	中国中免
601898.SH	中煤能源
601899.SH	紫金矿业
601900.SH	南方传媒
601918.SH	新集能源
601919.SH	中远海控
601928.SH	凤凰传媒
601929.SH	吉视传媒
601939.SH	建设银行
601952.SH	苏垦农发
601958.SH	金钼股份
601965.SH	中国汽研
601968.SH	宝钢包装
601975.SH	招商南油
601985.SH	中国核电
601988.SH	中国银行
601989.SH	中国重工
601990.SH	南京证券
601991.SH	大唐发电
601992.SH	金隅集团
601997.SH	贵阳银行
601998.SH	中信银行
601999.SH	出版传媒
603013.SH	亚普股份
603025.SH	大豪科技
603043.SH	广州酒家
603060.SH	国检集团
603069.SH	海汽集团
603099.SH	长白山
603100.SH	川仪股份
603123.SH	翠微股份
603126.SH	中材节能
603128.SH	华贸物流
603167.SH	渤海轮渡
603169.SH	兰石重装
603199.SH	九华旅游
603227.SH	雪峰科技
603299.SH	苏盐井神
603327.SH	福蓉科技
603357.SH	设计总院
603369.SH	今世缘
603648.SH	畅联股份
603689.SH	皖天然气
603693.SH	江苏新能
603698.SH	航天工程
603712.SH	七一二
603721.SH	中广天择
603817.SH	海峡环保
603867.SH	新化股份
603881.SH	数据港
603977.SH	国泰集团
603999.SH	读者传媒
